@N: MF284 |Setting synthesis effort to medium for the design
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[12] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[13] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[14] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[15] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[16] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[17] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[18] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[19] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[20] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[21] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[22] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[23] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[0] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[1] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[2] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[3] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[4] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[5] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[6] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[7] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[8] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[9] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[10] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[11] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[12] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[13] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[14] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[15] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[16] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[17] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[18] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[19] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[20] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[21] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[22] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance sub_fifo.dout[23] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[0] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[1] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[2] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[3] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[4] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[5] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[6] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[7] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[8] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[9] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[10] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[11] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[12] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[13] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[14] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[15] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[16] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[17] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[18] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[19] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[20] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[21] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[22] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance frame.dout[23] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[0] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[1] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[2] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[3] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[4] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[5] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[6] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[7] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[8] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[9] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[10] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[11] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[12] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[13] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[14] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[15] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[16] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[17] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[18] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[19] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[20] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[21] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[22] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance background.dout[23] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[0] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[1] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[2] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[3] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[4] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[5] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[6] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[7] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[8] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[9] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[10] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[11] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[12] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[13] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[14] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[15] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[16] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[17] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[18] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
